L,Cmps,QPS,Recall,QPS_no_filter
10,429.075,4190.95,0.8245,20525.6
20,535.737,3796.59,0.947,13604.6
50,747.587,2961.61,0.9815,6767.52
100,1039.22,2267.12,0.993,3980.91
150,1346.86,1856.7,0.995,2867.79
200,1652.55,1598.48,0.996,2295.14
250,1950.97,1419.57,0.996,1943.44
300,2239.98,1281.95,0.9965,1694.43
400,2572.2,1091.13,0.997,1376.28
500,2924.21,963.234,0.997,1178.86
600,3282.81,869.989,0.9975,1042.16
700,3641.77,787.939,0.998,926.574
800,3997.89,732.762,0.998,851.202
1000,4391.27,648.934,0.9985,740.138
1200,4805.61,585.707,0.9985,659
