L,Cmps,QPS,Recall,QPS_no_filter
10,558.86,3032.87,0.886,5964.26
20,706.08,3431.77,0.9625,7731.58
50,991.627,2651.99,0.9915,4650.73
100,1377.8,1919.16,0.9945,2785.48
150,1780.73,1570.84,0.996,2107.28
200,2176.63,1319.16,0.998,1677.84
250,2559.43,1169.43,0.9985,1442.88
300,2927.55,1064.14,0.999,1285.89
400,3343.2,913.579,0.9995,1072.34
500,3777.74,804.311,0.9995,924.86
600,4216.12,717.561,0.9995,811.982
700,4651.42,664.986,0.9995,745.304
800,5080.19,618.551,0.9995,687.462
1000,5547.33,543.849,1,596.413
1200,6033.77,490.287,1,532.605
