L,Cmps,QPS,Recall,QPS_no_filter
10,701.89,4635.1,0.935,10505.9
20,882.335,3979.94,0.9785,7651.12
50,1235.46,2684.71,0.9945,3969.51
100,1704.53,1851.05,0.9975,2382.8
150,2187.84,1456.47,0.998,1766.69
200,2656.9,1227.65,0.998,1440.91
250,3107.33,1076.59,0.999,1237.17
300,3536.6,963.507,0.9995,1090.14
400,4015.38,818.474,0.9995,908.079
500,4511.98,722.257,0.9995,791.146
600,5010,650.423,0.9995,705.766
700,5500.67,598.457,0.9995,644.993
800,5980.45,556.429,0.9995,596.44
1000,6498.45,491.665,0.9995,522.645
1200,7033.27,443.336,0.9995,468.37
