L,Cmps,QPS,Recall,QPS_no_filter
10,431.91,5103.09,0.834,9562.06
20,538.185,5106.22,0.9465,9573.09
50,748.735,3937.94,0.981,6151.58
100,1037.52,2645.54,0.988,3489
150,1342.64,2376.06,0.9915,3035.04
200,1645.27,1831.86,0.9945,2200.15
250,1940.15,1706.82,0.996,2022.22
300,2226.01,1457.96,0.997,1682.06
400,2553.75,1280.59,0.997,1450.31
500,2900.48,1085.86,0.9975,1205.48
600,3254.1,942.56,0.998,1031.4
700,3608,911.797,0.998,994.673
800,3958.53,812.972,0.9985,878.214
1000,4345.79,702.798,0.9985,751.03
1200,4753.44,629.077,0.9985,667.445
