L,Cmps,QPS,Recall,QPS_no_filter
10,723.48,4614.88,0.9205,11725.4
20,907.205,3829.21,0.977,7707.43
50,1250.87,2623.19,0.9925,4003.04
100,1700.86,1857.42,0.9985,2457.16
150,2161.7,1459.61,0.9995,1806
200,2608.55,1247.85,0.9995,1492.6
250,3037.59,1097.44,0.9995,1282.36
300,3446.52,986.903,1,1133.96
400,3903.31,836.795,1,940.176
500,4377.13,738.68,1,818.09
600,4852.51,675.641,1,741.471
700,5322.01,616.536,1,670.888
800,5782.33,571.056,1,617.385
1000,6281.13,499.861,1,535.002
1200,6797.73,449.92,1,478.192
