L,Cmps,QPS,Recall,QPS_no_filter
10,691.22,1193.64,0.931,2079.2
20,876.11,1629.14,0.978,3891.05
50,1229.87,1637.5,0.9915,3939.11
100,1700.08,1287.72,0.9965,2382.4
150,2181.3,1089.37,0.997,1782.09
200,2648.03,958.147,0.998,1455.9
250,3095.66,859.472,0.9985,1239.64
300,3523.03,770.582,0.9985,1062.81
400,4000.06,701.141,0.9985,935.082
500,4494.56,616.781,0.9985,790.826
600,4990.96,575.932,0.9985,724.903
700,5480.06,517.796,0.9985,635.146
800,5958.58,506.611,0.9985,618.399
1000,6474.31,439.848,0.9985,521.733
1200,7006.99,400.221,0.9995,466.897
