L,Cmps,QPS,Recall,QPS_no_filter
10,439.36,1949.01,0.842,3351.65
20,543.74,3081.29,0.951,9105.88
50,750.02,2672.2,0.9855,6269.42
100,1033.03,2064.86,0.991,3709.54
150,1332.8,1741.27,0.9925,2781.06
200,1630.56,1528.39,0.9945,2274.98
250,1921.83,1362.24,0.996,1925.43
300,2203.46,1243.69,0.9965,1696.81
400,2525.04,1076.29,0.997,1399.78
500,2865.25,946.894,0.9975,1188.55
600,3212.1,868.508,0.9975,1067.6
700,3559.65,800.596,0.9985,966.791
800,3904.3,741.09,0.999,881.333
1000,4285.82,652.267,0.9995,758.498
1200,4688.43,588.869,0.9995,674.104
