L,Cmps,QPS,Recall,QPS_no_filter
10,575.82,1763.03,0.901,2825.98
20,719.395,1644.06,0.9625,2532.25
50,999.425,2258.17,0.9865,4357.47
100,1372.59,1845.9,0.9945,3045.11
150,1758.39,1525.38,0.996,2261.27
200,2136.73,1320.86,0.997,1839.13
250,2503.06,1168.02,0.998,1555.68
300,2855.36,1058.78,0.9985,1367.74
400,3252.39,907.477,0.999,1125.35
500,3668.33,806.471,0.9995,974.066
600,4088.3,732.236,0.9995,867.804
700,4505.33,673.979,1,787.166
800,4916.09,625.264,1,721.511
1000,5365.18,545.974,1,617.954
1200,5834.01,490.935,1,548.37
