L,Cmps,QPS,Recall,QPS_no_filter
10,571.865,1372.74,0.8985,2153.5
20,715.715,2359.05,0.964,6258.19
50,995.325,2052.61,0.991,4482.79
100,1371.45,1665.83,0.9975,2974.5
150,1760.82,1385.73,0.998,2185.65
200,2140.81,1212.87,0.9985,1784.5
250,2508.78,1086.29,0.9985,1523.32
300,2862.28,1004.53,0.9985,1367.27
400,3259.96,864.496,0.999,1120.28
500,3676.08,772.488,0.999,970.488
600,4095.75,702.682,0.999,862.805
700,4512.51,648.498,0.999,782.525
800,4922.86,603.058,0.999,717.306
1000,5372.33,533.092,0.999,620.447
1200,5841.8,482.256,0.999,552.645
