L,Cmps,QPS,Recall,QPS_no_filter
10,560.26,2878.24,0.876,9550.2
20,704.29,2616.61,0.9465,7171.04
50,989.892,1990.95,0.99,3852.83
100,1374.45,1674.48,0.9945,2821.08
150,1775.75,1404.41,0.995,2130.74
200,2169.93,1194.65,0.998,1682.54
250,2551.77,1133.66,0.998,1564.03
300,2918.62,1002.81,0.998,1325.43
400,3333.51,875.807,0.9985,1112.25
500,3767.57,767.663,0.9985,943.458
600,4206.06,697.664,0.999,839.891
700,4640.99,639.208,0.999,756.595
800,5069.16,585.347,0.9995,682.284
1000,5536.15,537.814,0.9995,618.561
1200,6022.36,474.323,1,536.036
