L,Cmps,QPS,Recall,QPS_no_filter
10,571.435,3365.47,0.8755,9621.84
20,717.133,3368.72,0.9665,9648.4
50,1001.25,2567.26,0.987,5093.85
100,1386.16,1906.87,0.9925,3019.19
150,1786.89,1541.67,0.9955,2195.68
200,2181.64,1324.27,0.996,1779.58
250,2562.93,1166.59,0.9975,1506.04
300,2928.48,1053.05,0.998,1322.03
400,3341.61,899.819,0.999,1089.17
500,3773.76,796.223,0.9995,940.978
600,4210.09,721.124,0.9995,837.858
700,4643.27,661.303,1,758.173
800,5069.19,615.345,1,698.373
1000,5533.81,541.961,1,605.347
1200,6017.92,487.681,1,538.412
