L,Cmps,QPS,Recall,QPS_no_filter
10,437.89,1274.01,0.8445,2131.26
20,543.285,1769.24,0.9445,4008.09
50,748.882,2019.59,0.98,5573.23
100,1031.7,1770.73,0.9885,4015.74
150,1329.28,1502.11,0.991,2857.06
200,1624.62,1341.72,0.992,2327.78
250,1913.02,1219.13,0.9935,1982
300,2192.32,1123.43,0.9945,1740.92
400,2511.53,990.095,0.9955,1440.33
500,2849.5,892.689,0.9955,1243.02
600,3193.65,806.257,0.996,1081.57
700,3538.47,756.569,0.9965,994
800,3880.18,700.953,0.9975,900.164
1000,4258.03,622.072,0.998,774.107
1200,4656.35,561.834,0.9985,682.983
