====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        9690.75        5510.84        437.48    0.8585
20        8034.37        4932.56        544.06    0.9515
50        6626.07        4363.23        752.982    0.987
100        4009.54        3051.81        1038.58    0.9935
150        2900.35        2363.76        1339.2    0.9965
200        2346.06        1982.1        1637.43    0.9975
250        1965.91        1703.75        1929.79    0.9975
300        1689.93        1492.52        2212.82    0.998
400        1399.8        1261.58        2536.14    0.9985
500        1212.78        1107.64        2878.52    0.999
600        1075.76        992.217        3227.9    0.999
700        901.315        841.921        3578.07    0.999
800        897.312        838.427        3925.36    0.9995
1000        775.386        731.021        4310.01    0.9995
1200        674.939        641.073        4715.98    0.9995
