L,Cmps,QPS,Recall,QPS_no_filter
10,429.28,1498.96,0.8695,2514.08
20,532.702,2151.34,0.965,5116.25
50,734.41,2420.4,0.985,6954.86
100,1011.12,1890.61,0.99,3852.67
150,1301.73,1639.84,0.9925,2937.33
200,1590.7,1472.48,0.9925,2440.48
250,1872.83,1293.96,0.9935,1986.29
300,2145.5,1166.06,0.9945,1700.05
400,2456.38,1046.41,0.995,1457.13
500,2785.26,923.029,0.995,1228.47
600,3120.22,850.347,0.996,1103
700,3455,787.482,0.996,999.501
800,3786.75,731.78,0.9965,911.444
1000,4153.49,647.975,0.997,784.991
1200,4540.38,586.889,0.997,697.092
