L,Cmps,QPS,Recall,QPS_no_filter
10,564.385,2716.58,0.9,6869.26
20,710.237,2841.12,0.9605,7725.6
50,992.212,2262.12,0.9895,4555.19
100,1375.93,1763.18,0.994,2901.71
150,1773.7,1414.31,0.996,2063.88
200,2164.58,1239.03,0.997,1710.72
250,2542.99,1114.98,0.9975,1482.92
300,2906.36,1008.44,0.9975,1300.22
400,3315.4,874.269,0.998,1085.45
500,3743.72,774.678,0.999,936.045
600,4176.39,703.817,0.9995,834.523
700,4605.55,650.153,0.9995,760.13
800,5027.21,606.088,0.9995,700.579
1000,5487.81,536.449,0.9995,609.171
1200,5967.96,485.334,0.9995,544.098
