====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        9150.38        3419.46        577.035    0.885
20        8750.44        3362.03        724.135    0.9535
50        4838.73        2565.25        1010.27    0.988
100        2942.04        1911.83        1396.18    0.9955
150        2147.7        1541.37        1795.5    0.9965
200        1751.45        1326.06        2187.42    0.997
250        1494.56        1173.36        2568.05    0.998
300        1318.85        1062.25        2933.85    0.998
400        1085.67        905.589        3347.35    0.9985
500        936.245        799.197        3779.56    0.9985
600        830.951        721.189        4215.8    0.999
700        749.786        659.251        4648.95    0.9995
800        685.044        608.673        5075.27    1
1000        593.57        535.366        5540.09    1
1200        530.078        483.168        6024.64    1
