L,Cmps,QPS,Recall,QPS_no_filter
10,721.72,6748.52,0.9265,11531.4
20,903.572,5217.41,0.9765,7680.19
50,1244.71,3241.06,0.9935,4047.27
100,1694.06,2136.06,0.9985,2458.87
150,2152.13,1659.31,0.9995,1847.75
200,2596.62,1390.13,0.9995,1520
250,3022.94,1207.24,0.9995,1303.99
300,3430.76,1078.02,1,1154.51
400,3886.61,905.455,1,958.813
500,4359.86,795.096,1,835.946
600,4834.71,712.585,1,745.223
700,5303.69,647.413,1,674.241
800,5763.19,596.126,1,618.798
1000,6260.72,520.492,1,537.692
1200,6776.67,467.985,1,481.844
