L,Cmps,QPS,Recall,QPS_no_filter
10,423.545,1781.12,0.8345,3123.98
20,529.067,1567.4,0.96,2521.05
50,739.317,1491.14,0.9845,2329.45
100,1028.11,1945.49,0.994,3667.44
150,1335.05,1712.51,0.9955,2918.86
200,1640.43,1486.16,0.9965,2317.31
250,1938.39,1330.09,0.997,1958.9
300,2227.07,1210.39,0.9975,1709.87
400,2557.95,1047.47,0.998,1401.86
500,2908.41,933.61,0.998,1205.15
600,3265.36,847.224,0.999,1064.98
700,3622.5,759.266,0.9995,929.609
800,3976.37,727.847,0.9995,882.944
1000,4367.01,635.221,0.9995,750.235
1200,4778.66,571.286,0.9995,662.649
