L,Cmps,QPS,Recall,QPS_no_filter
10,572.24,5540.14,0.894,8188
20,713.293,6240.22,0.9615,9815.49
50,991.892,3884.68,0.989,5023.84
100,1363.66,2571.38,0.996,3025.48
150,1748.2,1982.37,0.9965,2241.77
200,2125.31,1642.03,0.9975,1816.1
250,2490.3,1419.31,0.998,1547.52
300,2840.32,1265.81,0.998,1366.8
400,3234.37,1053.5,0.9985,1122.52
500,3646.23,936.368,0.9985,990.505
600,4061.69,779.447,0.9985,816.599
700,4474.1,750.277,0.9985,784.64
800,4880.29,688.285,0.9985,717.095
1000,5324.4,565.695,0.9985,585.013
1200,5788.41,535.661,0.9985,552.951
