====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        5964.26        3032.87        558.86    0.886
20        7731.58        3431.77        706.08    0.9625
50        4650.73        2651.99        991.627    0.9915
100        2785.48        1919.16        1377.8    0.9945
150        2107.28        1570.84        1780.73    0.996
200        1677.84        1319.16        2176.63    0.998
250        1442.88        1169.43        2559.43    0.9985
300        1285.89        1064.14        2927.55    0.999
400        1072.34        913.579        3343.2    0.9995
500        924.86        804.311        3777.74    0.9995
600        811.982        717.561        4216.12    0.9995
700        745.304        664.986        4651.42    0.9995
800        687.462        618.551        5080.19    0.9995
1000        596.413        543.849        5547.33    1
1200        532.605        490.287        6033.77    1
