L,Cmps,QPS,Recall,QPS_no_filter
10,694.76,3962.03,0.9305,8957.31
20,878.83,3671.28,0.9725,7597.07
50,1231.16,2542.59,0.992,3959.69
100,1700.89,1763.06,0.998,2344.99
150,2182.49,1399.82,0.9985,1743.31
200,2650.73,1187.73,0.9985,1426.16
250,3101.6,1041.66,0.9985,1220.63
300,3531.45,931.993,0.999,1072.71
400,4010.13,809.527,0.999,913.63
500,4506.28,719.261,0.999,800.282
600,5004.06,638.036,0.999,700.989
700,5494.58,601.229,0.9995,656.812
800,5974.03,557.018,0.9995,604.405
1000,6491.69,479.915,0.9995,514.681
1200,7026.24,439.2,0.9995,468.141
