L,Cmps,QPS,Recall,QPS_no_filter
10,724.66,3593.57,0.9275,7473.01
20,904.268,3338.78,0.9725,6449.5
50,1244.3,2412,0.9925,3701.86
100,1693.38,1794.65,0.9975,2422.77
150,2153.06,1445.92,0.998,1827.69
200,2599.18,1240.03,0.9985,1510.64
250,3027.39,1068.08,0.9985,1262.95
300,3436.66,966.972,1,1123.98
400,3892.78,835.188,1,949.78
500,4366.63,737.907,1,825.952
600,4842.81,666.991,1,738.111
700,5313.19,625.399,1,687.512
800,5773.48,578.374,1,631.104
1000,6272.05,509.516,1,549.999
1200,6788.97,447.137,1,478.014
