L,Cmps,QPS,Recall,QPS_no_filter
10,437.48,5510.84,0.8585,9690.75
20,544.06,4932.56,0.9515,8034.37
50,752.982,4363.23,0.987,6626.07
100,1038.58,3051.81,0.9935,4009.54
150,1339.2,2363.76,0.9965,2900.35
200,1637.43,1982.1,0.9975,2346.06
250,1929.79,1703.75,0.9975,1965.91
300,2212.82,1492.52,0.998,1689.93
400,2536.14,1261.58,0.9985,1399.8
500,2878.52,1107.64,0.999,1212.78
600,3227.9,992.217,0.999,1075.76
700,3578.07,841.921,0.999,901.315
800,3925.36,838.427,0.9995,897.312
1000,4310.01,731.021,0.9995,775.386
1200,4715.98,641.073,0.9995,674.939
