====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        11725.4        4614.88        723.48    0.9205
20        7707.43        3829.21        907.205    0.977
50        4003.04        2623.19        1250.87    0.9925
100        2457.16        1857.42        1700.86    0.9985
150        1806        1459.61        2161.7    0.9995
200        1492.6        1247.85        2608.55    0.9995
250        1282.36        1097.44        3037.59    0.9995
300        1133.96        986.903        3446.52    1
400        940.176        836.795        3903.31    1
500        818.09        738.68        4377.13    1
600        741.471        675.641        4852.51    1
700        670.888        616.536        5322.01    1
800        617.385        571.056        5782.33    1
1000        535.002        499.861        6281.13    1
1200        478.192        449.92        6797.73    1
