L,Cmps,QPS,Recall,QPS_no_filter
10,565.5,6859.66,0.885,11145.7
20,710.735,5114.44,0.957,7170.24
50,994.115,3565.51,0.99,4456.22
100,1379.48,2270,0.995,2600.98
150,1778.46,1921.53,0.9975,2153.5
200,2170.03,1611.93,0.998,1772.06
250,2549.83,1369.22,0.999,1483.05
300,2914.15,1256.72,0.9995,1351.96
400,3325.14,1053.59,0.9995,1119.73
500,3755.09,909.818,0.9995,958.717
600,4189.33,799.316,1,836.813
700,4620.29,731.083,1,762.326
800,5044.41,668.778,1,694.828
1000,5507.78,582.56,1,602.228
1200,5990.69,520.539,1,536.186
