L,Cmps,QPS,Recall,QPS_no_filter
10,563.37,3423.53,0.8905,10241.6
20,707.62,3237.13,0.9625,8736.68
50,991.24,2386.6,0.9915,4453.33
100,1374.37,1821.48,0.997,2820.48
150,1773.85,1494.8,0.9985,2107.35
200,2165.72,1300.34,0.9985,1740.42
250,2545.59,1157.44,0.9985,1493.61
300,2910.66,1039.36,0.9985,1302.64
400,3322.32,900.559,0.9985,1091.74
500,3753.14,799.971,0.999,947.338
600,4188.21,721.397,0.999,839.106
700,4619.76,662.952,0.999,761.064
800,5044,614.301,0.999,697.637
1000,5506.89,541.19,0.999,604.842
1200,5988.97,488.48,0.9995,539.75
