L,Cmps,QPS,Recall,QPS_no_filter
10,578.99,4489.13,0.878,9157.97
20,725.153,3953.11,0.9485,7173.61
50,1006.3,3083.65,0.9915,4745.52
100,1381.84,2188.47,0.998,2912.27
150,1770.08,1760.02,0.9985,2199.69
200,2150.53,1485.59,0.999,1787.1
250,2517.61,1319.09,0.999,1551.52
300,2870.64,1186.02,0.999,1370.63
400,3268.55,977.391,0.999,1099.43
500,3685.18,883.201,0.999,981.663
600,4106.02,784.88,0.999,861.687
700,4524.12,721.152,0.999,785.481
800,4936.12,666.042,0.999,720.544
1000,5386.79,584.489,0.999,626.045
1200,5857.39,525.091,0.999,558.389
