L,Cmps,QPS,Recall,QPS_no_filter
10,733.095,6678.93,0.905,11281.7
20,915,5127.17,0.979,7465.23
50,1256.02,3259.51,0.993,4069.85
100,1704.58,2155.01,0.9975,2481.7
150,2164.3,1670.48,0.9985,1860.31
200,2611.02,1398.59,0.9985,1529.24
250,3039.22,1215.98,0.9985,1313.54
300,3448.43,1076.87,0.9995,1152.69
400,3905.44,900.366,0.9995,952.767
500,4379.33,793.346,0.9995,833.751
600,4854.69,670.927,0.9995,699.599
700,5324.48,664.277,1,692.372
800,5784.61,599.648,1,622.448
1000,6282.76,523.652,1,540.956
1200,6799.54,468.869,1,482.694
