L,Cmps,QPS,Recall,QPS_no_filter
10,703.88,4795,0.9355,9203.89
20,886.885,3855.7,0.9835,6271.34
50,1240.01,2670.71,0.994,3642.58
100,1709.17,1853.68,0.998,2274.98
150,2190.78,1471.66,0.9985,1725.31
200,2658.13,1250.77,0.999,1429.37
250,3106.66,1080.26,0.9995,1210.94
300,3534.53,977.359,1,1083.11
400,4012.58,827.742,1,902.36
500,4508.39,725.873,1,782.625
600,5006.31,656.551,1,702.636
700,5496.8,600.415,1,638.727
800,5977,555.941,1,588.633
1000,6495.04,491.984,1,517.415
1200,7029.79,445.011,1,465.715
