====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        20525.6        4190.95        429.075    0.8245
20        13604.6        3796.59        535.737    0.947
50        6767.52        2961.61        747.587    0.9815
100        3980.91        2267.12        1039.22    0.993
150        2867.79        1856.7        1346.86    0.995
200        2295.14        1598.48        1652.55    0.996
250        1943.44        1419.57        1950.97    0.996
300        1694.43        1281.95        2239.98    0.9965
400        1376.28        1091.13        2572.2    0.997
500        1178.86        963.234        2924.21    0.997
600        1042.16        869.989        3282.81    0.9975
700        926.574        787.939        3641.77    0.998
800        851.202        732.762        3997.89    0.998
1000        740.138        648.934        4391.27    0.9985
1200        659        585.707        4805.61    0.9985
