====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        9203.89        4795        703.88    0.9355
20        6271.34        3855.7        886.885    0.9835
50        3642.58        2670.71        1240.01    0.994
100        2274.98        1853.68        1709.17    0.998
150        1725.31        1471.66        2190.78    0.9985
200        1429.37        1250.77        2658.13    0.999
250        1210.94        1080.26        3106.66    0.9995
300        1083.11        977.359        3534.53    1
400        902.36        827.742        4012.58    1
500        782.625        725.873        4508.39    1
600        702.636        656.551        5006.31    1
700        638.727        600.415        5496.8    1
800        588.633        555.941        5977    1
1000        517.415        491.984        6495.04    1
1200        465.715        445.011        7029.79    1
