L,Cmps,QPS,Recall,QPS_no_filter
10,711.3,3403.5,0.932,8888.12
20,893.778,3220.65,0.976,7740.5
50,1245.38,2311.09,0.9935,3977.87
100,1708.22,1672.38,0.9975,2400.13
150,2183.65,1342.18,0.9985,1773.84
200,2644.59,1131.44,0.9985,1423.44
250,3086.69,997.62,0.9985,1217.91
300,3508.39,909.69,0.9985,1089.36
400,3978.97,790.092,0.9995,922.195
500,4467.32,706.382,0.9995,810.137
600,4956.1,642.826,1,727.63
700,5437.53,607.673,1,682.913
800,5909.48,564.716,1,629.131
1000,6419.42,477.137,1,522.321
1200,6946.65,437.365,1,475.033
