L,Cmps,QPS,Recall,QPS_no_filter
10,423.51,2498.1,0.8485,5997.9
20,527.207,2859.31,0.9465,8609.18
50,733.958,2546.83,0.979,6286.76
100,1017.81,2084.33,0.986,4061.91
150,1316.43,1765.83,0.9915,3005.48
200,1612.18,1537.99,0.992,2400.27
250,1900.83,1375.49,0.9925,2026.61
300,2180.11,1253.02,0.994,1771.51
400,2499.56,1073.01,0.995,1431.9
500,2837.76,954.13,0.996,1227.75
600,3182.65,855.388,0.9975,1068.97
700,3527.87,738.819,0.998,892.912
800,3870.11,725.385,0.9985,873.363
1000,4247.48,634.542,0.9985,744.957
1200,4644.9,593.579,0.9985,689.125
