L,Cmps,QPS,Recall,QPS_no_filter
10,715.75,5753.9,0.935,11755.7
20,898.89,4523.36,0.9745,7556.01
50,1250.2,2940.02,0.9935,3977.66
100,1714.97,1976.89,0.9975,2397.42
150,2192.64,1539.11,0.998,1782.55
200,2654.85,1322.36,0.9985,1498.14
250,3098.03,1154.19,0.999,1285.88
300,3521.38,1028.37,0.999,1131.62
400,3993.72,863.823,0.9995,935.528
500,4483.76,757.47,0.9995,812.048
600,4974.89,676.785,0.9995,720.023
700,5459.7,615.497,0.9995,651.052
800,5933.99,568.332,0.9995,598.514
1000,6446.9,497.401,0.9995,520.367
1200,6977.15,447.232,0.9995,465.713
