L,Cmps,QPS,Recall,QPS_no_filter
10,726.105,5722.77,0.925,11546.6
20,910.462,4528.97,0.9745,7537.75
50,1259.7,2963.37,0.993,4010.92
100,1722.63,1971.2,0.9965,2385.66
150,2195.91,1526.27,0.999,1763.49
200,2655.08,1286.16,0.9995,1450.6
250,3095.92,1112.97,0.9995,1234.01
300,3518.45,1027.75,0.9995,1130.12
400,3989.51,875.987,0.9995,949.276
500,4478.44,763.47,0.9995,818.549
600,4968.56,680.733,0.9995,724.182
700,5452.28,615.387,0.9995,650.678
800,5926.07,567.474,0.9995,597.35
1000,6438.4,497.261,0.9995,520.053
1200,6968.29,448.056,0.9995,466.477
