L,Cmps,QPS,Recall,QPS_no_filter
10,723.92,4064.54,0.927,7945.64
20,905.75,3993.93,0.9775,7680.19
50,1255.18,2695.57,0.995,3987.17
100,1718.42,1851.56,0.997,2381.46
150,2193.78,1448.13,0.9985,1753.25
200,2655.56,1230.56,0.999,1444.13
250,3097.93,1076.1,0.999,1235.93
300,3521.22,972.083,0.9995,1100.66
400,3993,825.334,0.9995,916.208
500,4483.4,726.726,0.9995,796.267
600,4975.15,656.164,0.9995,712.335
700,5460.11,602.658,0.9995,649.713
800,5934.83,559.009,0.9995,599.267
1000,6448.08,490.498,0.9995,521.222
1200,6978.9,441.172,0.9995,465.871
