====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        9157.97        4489.13        578.99    0.878
20        7173.61        3953.11        725.153    0.9485
50        4745.52        3083.65        1006.3    0.9915
100        2912.27        2188.47        1381.84    0.998
150        2199.69        1760.02        1770.08    0.9985
200        1787.1        1485.59        2150.53    0.999
250        1551.52        1319.09        2517.61    0.999
300        1370.63        1186.02        2870.64    0.999
400        1099.43        977.391        3268.55    0.999
500        981.663        883.201        3685.18    0.999
600        861.687        784.88        4106.02    0.999
700        785.481        721.152        4524.12    0.999
800        720.544        666.042        4936.12    0.999
1000        626.045        584.489        5386.79    0.999
1200        558.389        525.091        5857.39    0.999
