L,Cmps,QPS,Recall,QPS_no_filter
10,577.035,3419.46,0.885,9150.38
20,724.135,3362.03,0.9535,8750.44
50,1010.27,2565.25,0.988,4838.73
100,1396.18,1911.83,0.9955,2942.04
150,1795.5,1541.37,0.9965,2147.7
200,2187.42,1326.06,0.997,1751.45
250,2568.05,1173.36,0.998,1494.56
300,2933.85,1062.25,0.998,1318.85
400,3347.35,905.589,0.9985,1085.67
500,3779.56,799.197,0.9985,936.245
600,4215.8,721.189,0.999,830.951
700,4648.95,659.251,0.9995,749.786
800,5075.27,608.673,1,685.044
1000,5540.09,535.366,1,593.57
1200,6024.64,483.168,1,530.078
