L,Cmps,QPS,Recall,QPS_no_filter
10,170.62,5118.88,0.733,11227
20,214.975,4743.05,0.8005,9564.79
50,291.675,3831.57,0.8315,6463.91
100,381.527,3301.16,0.8425,5085.45
150,464.401,3032.69,0.843,4475.17
200,538.708,2627.12,0.844,3644.84
250,605.188,2385.19,0.845,3195.2
300,664.802,2165.63,0.8455,2813.14
400,725.047,1836.87,0.8455,2282.48
500,782.412,1603.43,0.8455,1932.82
600,835.973,1248.88,0.8455,1440.03
700,885.604,1277.12,0.8455,1477.71
800,931.383,1173.28,0.8455,1340.44
1000,975.703,1013.5,0.8455,1135.85
1200,1017.58,871.046,0.8455,959.914
