L,Cmps,QPS,Recall,QPS_no_filter
10,79.61,3969.59,0.455,11591.6
20,102.627,4164.55,0.606,13427.1
50,146.073,3994.56,0.6845,11807.1
100,202.357,3503.78,0.711,8350.03
150,257.625,3073.27,0.719,6260.16
200,309.995,2853.63,0.7205,5411.69
250,358.414,2843.29,0.7215,5374.63
300,403.671,2995.88,0.7215,5947.22
400,451.924,2703.02,0.7215,4894.51
500,500.312,2465.75,0.7225,4168.23
600,547.305,2280.26,0.7225,3664.35
700,592.348,2130.72,0.7225,3292.94
800,635.176,2000.27,0.7225,2991.45
1000,679.1,1774.95,0.7225,2514.14
1200,722.41,1603.09,0.7225,2182.69
