L,Cmps,QPS,Recall,QPS_no_filter
10,160.015,11008.4,0.7135,26119.7
20,203.445,9370.76,0.802,18463.7
50,280.15,6479.64,0.831,9825.6
100,369.663,3307.81,0.8395,4003.84
150,452.373,3570.47,0.8405,4395.21
200,526.48,3010.55,0.8405,3576.41
250,592.83,2622.89,0.841,3042.25
300,652.286,2356.71,0.841,2689.87
400,712.587,1998.54,0.8425,2233.09
500,769.843,1721.91,0.8425,1893.24
600,823.291,1513.96,0.8425,1644.83
700,872.758,1348.07,0.8425,1450.85
800,918.393,1207.02,0.8425,1288.77
1000,962.613,1028.88,0.8425,1087.69
1200,1004.32,893.113,0.8425,937.098
