L,Cmps,QPS,Recall,QPS_no_filter
10,100.555,3559.73,0.5595,11346.8
20,130.062,4383.86,0.6595,28313.1
50,183.8,3898.78,0.719,15698.4
100,250.798,3359.21,0.737,9532.94
150,315.301,3016.68,0.746,7209.8
200,375.259,2768.86,0.749,5939.3
250,430.124,2579.18,0.751,5130.05
300,480.68,2423.36,0.7515,4548.35
400,533.622,2185.24,0.752,3776.08
500,585.996,1923.54,0.752,3057.32
600,636.25,1703.55,0.752,2536.65
700,683.813,1717.99,0.752,2568.81
800,728.47,1619.93,0.752,2355.6
1000,773.481,1440.82,0.7525,1994.97
1200,817.199,1280.03,0.7525,1699.41
