====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        11917.5        5390.69        204.74    0.7485
20        11923.3        5391.86        251.227    0.813
50        8391.71        4529.8        333.832    0.853
100        5254.01        3425.53        429.918    0.858
150        3964.56        2826.22        517.799    0.86
200        3211.05        2421.19        595.312    0.8605
250        2697.24        2117.1        663.977    0.8605
300        2368.91        1909.38        725.087    0.8605
400        1907.92        1598.15        786.366    0.861
500        1600.47        1376.63        844.46    0.861
600        1346.85        1184.74        898.463    0.861
700        1007.12        913.634        948.085    0.861
800        1125.52        1010.02        993.628    0.861
1000        920.009        841.368        1037.39    0.861
1200        780.129        722.839        1078.38    0.861
