L,Cmps,QPS,Recall,QPS_no_filter
10,189.08,5793.04,0.7245,10703.7
20,236.132,5440.82,0.7785,9560.21
50,317.093,4584.62,0.804,7198.11
100,411.345,3796.42,0.807,5428.57
150,497.547,3096.35,0.808,4102.31
200,573.819,2631.02,0.8085,3323.52
250,641.704,2303.7,0.8085,2817.78
300,702.45,2035.25,0.8085,2426.33
400,763.408,1672.76,0.8085,1928.19
500,821.199,1448.08,0.8085,1635.66
600,874.819,1297,0.8085,1445.47
700,924.066,1135.47,0.8085,1247.67
800,969.255,1026.93,0.8085,1117.84
1000,1012.68,882.675,0.8085,949.015
1200,1053.35,782.007,0.8085,833.636
