====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        11346.2        6132.16        168.65    0.6745
20        19924        7991.66        205.243    0.731
50        11069.4        6050.38        273.18    0.7835
100        6998.44        4590.76        354.041    0.7975
150        5329.65        3808.52        430.279    0.8005
200        4383.56        3299.63        499.002    0.8015
250        3761.08        2934.1        560.874    0.802
300        3324.7        2661.56        616.851    0.802
400        2682.05        2233.19        674.414    0.803
500        2292.84        1956.64        729.98    0.803
600        2000.46        1739.66        782.34    0.803
700        1771.67        1564.01        831.145    0.803
800        1640.42        1460.83        876.472    0.803
1000        1322.21        1203.01        920.967    0.803
1200        1167.48        1073.55        963.418    0.803
