L,Cmps,QPS,Recall,QPS_no_filter
10,138.315,5838.68,0.679,29637.5
20,177.093,5405.1,0.746,21061.6
50,244.852,4418.03,0.7935,11259.4
100,326.241,3575.69,0.7995,7035.53
150,402.8,3071.77,0.801,5318.74
200,472.228,2706.91,0.8045,4312.31
250,534.819,2455.47,0.8045,3707.49
300,591.313,2249.31,0.8045,3256.8
400,649.458,1934.27,0.8055,2635.32
500,705.784,1711.57,0.806,2238.49
600,758.912,1564.2,0.8065,1992.92
700,808.472,1417.78,0.8065,1761.2
800,854.428,1313.7,0.8065,1603.39
1000,899.566,1157.37,0.8065,1376.47
1200,942.672,1020.76,0.8065,1187.46
