====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        14548.4        5306.86        185.365    0.7545
20        17213.4        5624.5        228.495    0.8095
50        9392.79        4421.57        305.168    0.8425
100        5895.02        3456.21        395.355    0.849
150        4407.61        2885.34        478.643    0.851
200        3572.77        2502.54        553.482    0.851
250        3082.81        2251.85        620.269    0.8515
300        2703.51        2042.53        680.162    0.8515
400        2213.74        1750.01        740.713    0.8515
500        1918.52        1560.22        798.38    0.8515
600        1674.58        1394.96        852.245    0.852
700        1476.64        1254.84        902.06    0.852
800        1329.77        1147.17        948.04    0.852
1000        1134.93        999.187        992.582    0.852
1200        918.367        827.411        1034.63    0.852
