L,Cmps,QPS,Recall,QPS_no_filter
10,114.9,6849.86,0.6,13387.9
20,148.627,5848.17,0.695,10030.1
50,208.133,4739.92,0.745,7159.23
100,281.521,4294.71,0.758,6190.03
150,351.247,4386.75,0.761,6383.05
200,415.423,3778.87,0.7615,5172.37
250,473.93,3394.38,0.7635,4478.08
300,527.207,3101.11,0.7645,3981.36
400,582.869,2639.5,0.7645,3251.34
500,637.356,2318.93,0.7645,2778.25
600,689.185,2066.61,0.7645,2423.71
700,737.9,1858.7,0.7645,2142.63
800,783.497,1721.94,0.7645,1962.92
1000,828.856,1481.55,0.7645,1656.52
1200,872.603,1300.97,0.7645,1433.98
