====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        47369.2        5420.19        88.55    0.4935
20        36363.1        5238.75        111.285    0.6065
50        19663.4        4667.65        155.382    0.7025
100        12349.4        4092.32        212.199    0.7325
150        9306.61        3692.28        267.81    0.738
200        7661.67        3402.47        320.311    0.7405
250        6646.07        3186.24        368.975    0.742
300        5838.07        2987.98        414.455    0.7445
400        4834.07        2700.88        462.656    0.7455
500        4144.73        2471.24        510.973    0.7455
600        3649.63        2286.32        557.911    0.7455
700        3279.55        2135.36        602.9    0.746
800        2979.03        2003.75        645.693    0.747
1000        2510.61        1780.33        689.607    0.747
1200        2205.51        1621.28        732.842    0.747
