L,Cmps,QPS,Recall,QPS_no_filter
10,135.485,1986.87,0.633,3285.41
20,168.97,2605.25,0.705,5408.03
50,229.132,3139.87,0.758,8364.35
100,303.229,2768.09,0.774,6160.26
150,374.224,2747.82,0.777,6060.78
200,439.417,2515.48,0.781,5035
250,498.64,2333.26,0.783,4354.35
300,552.537,2174.67,0.783,3832.74
400,608.567,1925.34,0.784,3120.52
500,663.59,1736.72,0.784,2653.44
600,715.866,1587.79,0.784,2320.85
700,764.962,1467.59,0.784,2072.71
800,810.843,1369.05,0.784,1881.45
1000,856.456,1212.03,0.784,1597.1
1200,900.406,1100,0.7845,1408.12
