L,Cmps,QPS,Recall,QPS_no_filter
10,181.96,5322.96,0.7635,10818.4
20,228.235,6369,0.825,16239.1
50,310.772,4685.14,0.849,8473.85
100,406.031,3515.67,0.852,5290.73
150,493.136,2909.72,0.8525,4028.28
200,570.467,2487.96,0.8525,3262.59
250,638.995,2183.67,0.853,2758.51
300,700.163,1942.77,0.853,2384.93
400,761.343,1609.76,0.853,1901.94
500,819.216,1387.4,0.853,1599.12
600,873.012,1221.23,0.853,1382.32
700,922.472,1098.74,0.853,1227.44
800,967.873,975.058,0.853,1075.1
1000,1011.48,846.844,0.853,921.299
1200,1052.3,724.611,0.853,778.441
