L,Cmps,QPS,Recall,QPS_no_filter
10,148.685,4015.74,0.6465,11291.1
20,187.025,4080.4,0.7235,11817.6
50,255.663,3446.07,0.767,7708.28
100,337.509,2738.19,0.782,4884
150,414.684,2437.78,0.787,4003.94
200,484.077,2435.97,0.789,3999.05
250,546.511,2314.07,0.7895,3680.73
300,602.742,2173.94,0.7895,3338.46
400,660.523,1910.84,0.7895,2755.78
500,716.262,1707.32,0.7895,2351.5
600,768.619,1553.32,0.7895,2068.98
700,817.416,1241.49,0.7895,1550.31
800,862.709,1326.66,0.7895,1685.44
1000,907.164,1178.63,0.7895,1453.51
1200,949.594,1043.6,0.7895,1253.5
