L,Cmps,QPS,Recall,QPS_no_filter
10,86.165,2067.61,0.5045,3640.4
20,110.6,1727.02,0.6285,2702.15
50,157.053,2387.18,0.6935,4763.03
100,215.688,2906,0.716,7398.6
150,272.255,2504.66,0.7215,5254.83
200,325.122,2429.25,0.726,4933.52
250,374.121,2119.34,0.727,3803.87
300,419.618,2125.19,0.727,3822.77
400,467.957,2253.42,0.73,4258.67
500,516.356,2071.3,0.73,3651.84
600,563.564,1910.64,0.7305,3180.36
700,608.748,1743.39,0.731,2742.43
800,651.58,1602.77,0.731,2409.84
1000,695.353,1529.05,0.731,2246.97
1200,738.488,1364.88,0.7315,1909.46
