L,Cmps,QPS,Recall,QPS_no_filter
10,121.55,1948.7,0.586,3348.52
20,151.683,1725.36,0.6735,2739.24
50,206.597,2249.9,0.7355,4348.95
100,274.595,2444.43,0.7525,5139.54
150,339.702,2443.83,0.756,5136.9
200,400.102,2388.24,0.7595,4897.28
250,455.326,2084.22,0.7605,3769.74
300,506.311,2043.97,0.761,3640.07
400,559.829,1832.63,0.763,3019.87
500,612.742,1862.27,0.764,3101.21
600,663.38,1726.37,0.7665,2741.8
700,711.317,1606.7,0.7665,2451.76
800,756.308,1518.09,0.7665,2251.24
1000,801.487,1362.38,0.767,1924.98
1200,845.297,1248.61,0.767,1705.42
