L,Cmps,QPS,Recall,QPS_no_filter
10,76.69,2472.07,0.4395,5597.56
20,100.118,3273.1,0.588,12555
50,142.928,3230.23,0.6785,11946.7
100,197.709,3288.55,0.7035,12785.4
150,251.349,3047.57,0.712,9778.98
200,302.167,2855.59,0.715,8043.77
250,349.414,2693.45,0.717,6877.54
300,393.56,2555.81,0.7175,6046.15
400,440.812,2334.53,0.7185,4938.75
500,488.363,2159.94,0.7195,4217.52
600,534.48,2032.99,0.7195,3759.18
700,578.776,1908.72,0.72,3355.26
800,621.003,1802.84,0.72,3041.27
1000,664.456,1617.62,0.7205,2548.94
1200,707.409,1466.8,0.7205,2193.53
