L,Cmps,QPS,Recall,QPS_no_filter
10,88.55,5420.19,0.4935,47369.2
20,111.285,5238.75,0.6065,36363.1
50,155.382,4667.65,0.7025,19663.4
100,212.199,4092.32,0.7325,12349.4
150,267.81,3692.28,0.738,9306.61
200,320.311,3402.47,0.7405,7661.67
250,368.975,3186.24,0.742,6646.07
300,414.455,2987.98,0.7445,5838.07
400,462.656,2700.88,0.7455,4834.07
500,510.973,2471.24,0.7455,4144.73
600,557.911,2286.32,0.7455,3649.63
700,602.9,2135.36,0.746,3279.55
800,645.693,2003.75,0.747,2979.03
1000,689.607,1780.33,0.747,2510.61
1200,732.842,1621.28,0.747,2205.51
