L,Cmps,QPS,Recall,QPS_no_filter
10,72.905,11936.7,0.4485,53176.6
20,95.455,11100,0.5855,39809.3
50,137.92,8833.09,0.6675,20729.5
100,192.278,7015.29,0.6875,12890.7
150,245.365,6041.01,0.694,9943.82
200,295.533,5325.22,0.6995,8142.3
250,341.994,4812.66,0.7015,7002.06
300,385.482,4365,0.702,6092.92
400,432.111,3762.65,0.7035,4980.09
500,478.94,3310.16,0.704,4217.1
600,524.604,2984.62,0.7045,3702.6
700,568.56,2726.58,0.705,3313.56
800,610.452,2523.98,0.7055,3019.05
1000,653.732,2185.51,0.706,2547.19
1200,696.529,1946.51,0.706,2228.31
