L,Cmps,QPS,Recall,QPS_no_filter
10,168.65,6132.16,0.6745,11346.2
20,205.243,7991.66,0.731,19924
50,273.18,6050.38,0.7835,11069.4
100,354.041,4590.76,0.7975,6998.44
150,430.279,3808.52,0.8005,5329.65
200,499.002,3299.63,0.8015,4383.56
250,560.874,2934.1,0.802,3761.08
300,616.851,2661.56,0.802,3324.7
400,674.414,2233.19,0.803,2682.05
500,729.98,1956.64,0.803,2292.84
600,782.34,1739.66,0.803,2000.46
700,831.145,1564.01,0.803,1771.67
800,876.472,1460.83,0.803,1640.42
1000,920.967,1203.01,0.803,1322.21
1200,963.418,1073.55,0.803,1167.48
