L,Cmps,QPS,Recall,QPS_no_filter
10,204.74,5390.69,0.7485,11917.5
20,251.227,5391.86,0.813,11923.3
50,333.832,4529.8,0.853,8391.71
100,429.918,3425.53,0.858,5254.01
150,517.799,2826.22,0.86,3964.56
200,595.312,2421.19,0.8605,3211.05
250,663.977,2117.1,0.8605,2697.24
300,725.087,1909.38,0.8605,2368.91
400,786.366,1598.15,0.861,1907.92
500,844.46,1376.63,0.861,1600.47
600,898.463,1184.74,0.861,1346.85
700,948.085,913.634,0.861,1007.12
800,993.628,1010.02,0.861,1125.52
1000,1037.39,841.368,0.861,920.009
1200,1078.38,722.839,0.861,780.129
