L,Cmps,QPS,Recall,QPS_no_filter
10,134.585,1728.88,0.67,2711.6
20,173.113,1802.78,0.7385,2897.92
50,240.42,2228.41,0.777,4181.9
100,320.609,2702.71,0.7875,6235.4
150,395.628,2302.48,0.79,4450.59
200,463.64,2086.05,0.7905,3707.13
250,525.349,1907.13,0.7905,3177.38
300,581.243,1771.95,0.791,2819.08
400,638.859,1589.5,0.792,2383.76
500,694.765,1410.04,0.792,2001.7
600,747.487,1325.72,0.792,1835.92
700,796.842,1230.74,0.792,1658.66
800,842.7,1091.55,0.792,1415.42
1000,887.752,962.135,0.792,1205.21
1200,930.751,862.553,0.792,1052.94
