L,Cmps,QPS,Recall,QPS_no_filter
10,172.39,11289.7,0.725,24084.4
20,219.76,9335.72,0.7745,16650
50,301.472,6094.56,0.8055,8545.16
100,395.933,4259.65,0.8105,5327.49
150,481.846,3352.72,0.812,3980.74
200,557.942,2798.65,0.812,3223.1
250,625.349,2422.74,0.812,2734.49
300,685.431,2142.82,0.8125,2383.11
400,745.752,1758.32,0.813,1916.92
500,802.876,1499.07,0.813,1612.84
600,856.073,1308.33,0.813,1394.17
700,904.97,1158.25,0.813,1225.02
800,949.883,1042.92,0.813,1096.74
1000,993.084,882.425,0.813,920.653
1200,1033.6,775.374,0.813,804.735
