L,Cmps,QPS,Recall,QPS_no_filter
10,185.365,5306.86,0.7545,14548.4
20,228.495,5624.5,0.8095,17213.4
50,305.168,4421.57,0.8425,9392.79
100,395.355,3456.21,0.849,5895.02
150,478.643,2885.34,0.851,4407.61
200,553.482,2502.54,0.851,3572.77
250,620.269,2251.85,0.8515,3082.81
300,680.162,2042.53,0.8515,2703.51
400,740.713,1750.01,0.8515,2213.74
500,798.38,1560.22,0.8515,1918.52
600,852.245,1394.96,0.852,1674.58
700,902.06,1254.84,0.852,1476.64
800,948.04,1147.17,0.852,1329.77
1000,992.582,999.187,0.852,1134.93
1200,1034.63,827.411,0.852,918.367
