L,Cmps,QPS,Recall,QPS_no_filter
10,134.475,4958.69,0.6365,12665.3
20,172.093,5342.01,0.7185,15507.5
50,240.24,4399.66,0.7575,9562.06
100,320.882,3363.6,0.766,5727.69
150,396.836,2921.28,0.768,4553.63
200,465.163,2615.44,0.7685,3851.57
250,526.798,2260.82,0.769,3128.85
300,582.586,2190.48,0.769,2995.72
400,639.956,1996.37,0.7695,2644.1
500,695.336,1767.89,0.7695,2257.67
600,747.545,1591.84,0.7695,1978.26
700,796.282,1449.81,0.7695,1763.56
800,841.495,1332.99,0.7695,1593.67
1000,886.009,1150.06,0.7695,1339.03
1200,928.558,1024.26,0.7695,1171.5
