L,Cmps,QPS,Recall,QPS_no_filter
10,107.02,2545.15,0.548,8352.53
20,136.567,2794.67,0.6485,11814.1
50,190.292,2645.99,0.713,9546.5
100,258.386,2364.45,0.7315,6677.76
150,323.259,2238.44,0.736,5761.72
200,383.172,2234.58,0.741,5736.23
250,437.839,2108.88,0.742,4974.98
300,488.1,1993.18,0.742,4375.79
400,541.043,1812,0.743,3588.14
500,593.427,1664.52,0.743,3052.56
600,643.659,1508.64,0.743,2566.27
700,691.283,1421.9,0.743,2325.02
800,735.993,1367.94,0.7435,2184.15
1000,780.988,1229.39,0.7435,1851.06
1200,824.722,1130.23,0.7435,1635.07
